"Nummer [Anke]","offizielle Nummer",Bezeichnung,Stadtteil,Adresse,"Koordinaten NS","Koordinaten OW ",Datierung,Beschreibung,Status,Fütterung,Kontrollen,WikipediaId,OsmId
51,81,"Handschwengelpumpe [abgebaut]",Zentrum-Südost,"Goldschmidtstraße 29",5133584,1238606,"1910 (Handschwengelpumpe)","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Talstraße, vor Nr. 29 (Typ Großer Löwe<Fragezeichen>)","abgebaut [Anke]",,,09290158,
52,246,"Handschwengelpumpe [rekonstruiert]",Schönefeld-Ost,"Gorkistraße 27",5135850,1241761,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte (Typ Vogelkäfig; saniert)","Standort nicht gefunden [Rüdiger]",,,09260098,
53,205,Handschwengelpumpe,Reudnitz-Thonberg,"Göschenstraße 9",5133776,1239676,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Frommannstraße, vor Nr. 9 (Typ Delphin)","verrosteter Torso mit Schwengel vorhanden [Anke]",,,09294891,
54,,Handschwengelpumpe,Zentrum-West,Gottschedstraße,5134115,123673661,"nach 1908 (Wasserversorgungs- und Abwasseranlage)","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Käthe-Kollwitz-Straße (Typ Kleiner Löwe)",,,,09290147,
55,136,"Handschwengelpumpe [rekonstruiert]",Eutritzsch,"Gräfestraße 7",5136959,1238442,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte (Typ Kleiner Löwe)",betriebsbereit,,,09294451,
56,115,"Handschwengelpumpe [Torso]",Zentrum-Süd,Härtelstraße,5133273,1237609,"um 1880 (Handschwengelpumpe)","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 11 (Typ Gotik)","wahrscheinlich nur alter Torso vorhanden",,,09297073,
57,229,"Handschwengelpumpe [rekonstruiert]",Neustadt-Neuschönefeld,"Hedwigstraße 3",5134583,124032,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte (Ganzplatte; saniert)",,,,09262760,
58,280,"Handschwengelpumpe [abgebaut]",Schönefeld-Abtnaundorf,Heiterblickstraße,5136920,1241879,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte (Typ Kleiner Löwe)","wahrscheinlich abgebaut",,,09260149,
59,208,"Handschwengelpumpe [abgebaut]",Lindenau,Henriettenstraße,5133341,1232428,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Lützner Straße; gegenüber Nr. 17, neben Haus Lützner Straße 103 (Typ Vogelkäfig)",,,,09294872,
60,262,"Handschwengelpumpe [abgebaut]",Connewitz,Herderstraße,5130804,1237538,"19. September 2013 Pumpenkörper nicht mehr vorhanden","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Biedermannstraße (am Herderplatz)","wahrscheinlich abgebaut",,,09296302,
